2009061402000,9183,Xbox_360474'Eddie_Murphy545'Eminem1305'The_Beatles6859)]
2009061403000,9723,Akon468'2009_flu_pandemic471'Usher_(entertainer)497'Eminem1305'The_Beatles6982)]
2009061404000,9946,Akon443'Usher_(entertainer)458'2009_flu_pandemic481'Eddie_Murphy506'Eminem1186'The_Beatles6872)]
2009061405000,9342,Eddie_Murphy418'California434'2009_flu_pandemic518'Eminem1225'The_Beatles6747)]
2009061406000,8239,2009_flu_pandemic504'Eminem1032'The_Beatles6703)]
2009061407000,7957,2009_flu_pandemic488'Eminem1028'The_Beatles6441)]
2009061408000,8240,California354'2009_flu_pandemic488'Eminem992'The_Beatles6406)]
2009061409000,7641,2009_flu_pandemic494'Eminem820'The_Beatles6327)]
2009061410000,7310,Egypt469'2009_flu_pandemic489'The_Beatles6352)]
2009061411000,7700,Egypt424'Eminem957'The_Beatles6319)]
2009061412000,7778,2009_flu_pandemic493'Eminem895'The_Beatles6390)]
2009061413000,7773,2009_flu_pandemic537'Boyz_II_Men900'Eminem975'The_Beatles5361)]
2009061414000,7053,2009_flu_pandemic590'Eminem1041'The_Beatles5422)]
2009061415000,7432,2009_flu_pandemic657'Eminem1218'The_Beatles5557)]
2009061416000,8623,Akon551'The_Simpsons561'2009_flu_pandemic641'Eminem1377'The_Beatles5493)]
2009061417000,9404,Egypt547'Xbox_360553'2009_flu_pandemic592'PlayStation_3596'Eminem1514'The_Beatles5602)]
2009061418000,9489,Egypt548'Akon563'2009_flu_pandemic564'California568'Eminem1547'The_Beatles5699)]
2009061419000,9658,California565'Xbox_360588'2009_flu_pandemic599'PlayStation_3617'Eminem1619'The_Beatles5670)]
2009061420000,10034,Akon598'PlayStation_3646'Xbox_360649'2009_flu_pandemic762'Eminem1644'The_Beatles5735)]
2009061421000,10904,Xbox_360611'California641'Ronald_Reagan723'Eddie_Murphy739'2009_flu_pandemic965'Eminem1567'The_Beatles5658)]
2009061422000,10086,California555'Akon569'Eddie_Murphy622'2009_flu_pandemic990'Eminem1728'The_Beatles5622)]
2009061423000,9735,California519'Xbox_360541'PlayStation_3560'2009_flu_pandemic851'Eminem1616'The_Beatles5648)]
2009061500000,9427,Eddie_Murphy525'The_Simpsons527'Magic_Johnson605'2009_flu_pandemic721'Eminem1441'The_Beatles5608)]
2009061501000,7646,PlayStation_3541'2009_flu_pandemic663'The_Simpsons841'The_Beatles5601)]
2009061502000,12377,Ronald_Reagan546'The_Simpsons580'Xbox_360607'2009_flu_pandemic766'Eminem1355'Magic_Johnson2781'The_Beatles5742)]
2009061503000,8839,2009_flu_pandemic697'Magic_Johnson1273'Eminem1306'The_Beatles5563)]
2009061504000,10963,The_Simpsons549'Eddie_Murphy562'2009_flu_pandemic686'Eminem1278'Magic_Johnson2242'The_Beatles5646)]
2009061505000,8616,2009_flu_pandemic633'Magic_Johnson1104'Eminem1339'The_Beatles5540)]
2009061506000,8628,Xbox_360431'Egypt441'Magic_Johnson598'2009_flu_pandemic700'Eminem992'The_Beatles5466)]
2009061507000,7603,Magic_Johnson479'2009_flu_pandemic741'Eminem987'The_Beatles5396)]
2009061508000,7380,Egypt455'2009_flu_pandemic725'Eminem854'The_Beatles5346)]
2009061509000,7211,The_Simpsons503'Egypt548'2009_flu_pandemic720'The_Beatles5440)]
2009061510000,7639,Egypt534'2009_flu_pandemic792'Eminem858'The_Beatles5455)]
2009061511000,7594,Egypt578'Eminem806'2009_flu_pandemic876'The_Beatles5334)]
2009061512000,7811,Egypt563'2009_flu_pandemic900'Eminem972'The_Beatles5376)]
2009061513000,8042,Egypt561'2009_flu_pandemic880'Eminem1102'The_Beatles5499)]
2009061514000,8245,2009_flu_pandemic712'Egypt722'Eminem1166'The_Beatles5645)]
2009061515000,8420,2009_flu_pandemic629'Egypt901'Eminem1251'The_Beatles5639)]
2009061516000,9925,Magic_Johnson611'PlayStation_3613'2009_flu_pandemic615'Egypt1062'Eminem1435'The_Beatles5589)]
2009061517000,10859,Magic_Johnson606'Xbox_360633'California655'Egypt835'Usher_(entertainer)916'Eminem1540'The_Beatles5674)]
2009061518000,12032,The_Simpsons595'Xbox_360604'California622'PlayStation_3624'Magic_Johnson625'Usher_(entertainer)794'Egypt872'Eminem1552'The_Beatles5744)]
